2025-05-06 14:11:47,254 INFO    MainThread:35897 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-05-06 14:11:47,255 INFO    MainThread:35897 [wandb_setup.py:_flush():68] Configure stats pid to 35897
2025-05-06 14:11:47,255 INFO    MainThread:35897 [wandb_setup.py:_flush():68] Loading settings from /home/veit/.config/wandb/settings
2025-05-06 14:11:47,255 INFO    MainThread:35897 [wandb_setup.py:_flush():68] Loading settings from /home/veit/Uni/Lausanne/NML/EPFL-NWML-25/outputs/2025-05-06/14-11-45/wandb/settings
2025-05-06 14:11:47,255 INFO    MainThread:35897 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-06 14:11:47,255 INFO    MainThread:35897 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/veit/Uni/Lausanne/NML/EPFL-NWML-25/outputs/2025-05-06/14-11-45/wandb/run-20250506_141147-tc022l2k/logs/debug.log
2025-05-06 14:11:47,255 INFO    MainThread:35897 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/veit/Uni/Lausanne/NML/EPFL-NWML-25/outputs/2025-05-06/14-11-45/wandb/run-20250506_141147-tc022l2k/logs/debug-internal.log
2025-05-06 14:11:47,256 INFO    MainThread:35897 [wandb_init.py:init():852] calling init triggers
2025-05-06 14:11:47,256 INFO    MainThread:35897 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'preprocessing': {'steps': [{'_target_': 'fft_filter', 'filter_order': 4, 'low_freq': 0.5, 'high_freq': 30, 'fs': 250}, {'_target_': 'identity'}]}, 'model': {'hidden_channels': 64, 'num_layers': 3, 'dropout': 0.2}, 'batch_size': 128, 'num_epochs': 4, 'seed': 42, 'learning_rate': 0.001, 'prefetch_dataset': False, 'data_path': '/home/veit/Uni/Lausanne/NML/EPFL-NWML-25/content/networkML', 'train_set': 'train/train', 'test_set': 'test/test', 'distances_set': 'distances_3d.csv', '_wandb': {}}
2025-05-06 14:11:47,256 INFO    MainThread:35897 [wandb_init.py:init():893] starting backend
2025-05-06 14:11:47,256 INFO    MainThread:35897 [wandb_init.py:init():897] sending inform_init request
2025-05-06 14:11:47,267 INFO    MainThread:35897 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-06 14:11:47,267 INFO    MainThread:35897 [wandb_init.py:init():907] backend started and connected
2025-05-06 14:11:47,271 INFO    MainThread:35897 [wandb_init.py:init():1002] updated telemetry
2025-05-06 14:11:47,281 INFO    MainThread:35897 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-06 14:11:48,137 INFO    MainThread:35897 [wandb_init.py:init():1101] starting run threads in backend
2025-05-06 14:11:48,285 INFO    MainThread:35897 [wandb_run.py:_console_start():2566] atexit reg
2025-05-06 14:11:48,285 INFO    MainThread:35897 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-06 14:11:48,285 INFO    MainThread:35897 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-06 14:11:48,285 INFO    MainThread:35897 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-06 14:11:48,294 INFO    MainThread:35897 [wandb_init.py:init():1147] run started, returning control to user process
2025-05-06 14:11:48,325 INFO    MsgRouterThr:35897 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
