2025-05-12 15:48:56,936 INFO    MainThread:15800 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-05-12 15:48:56,937 INFO    MainThread:15800 [wandb_setup.py:_flush():68] Configure stats pid to 15800
2025-05-12 15:48:56,937 INFO    MainThread:15800 [wandb_setup.py:_flush():68] Loading settings from /home/veit/.config/wandb/settings
2025-05-12 15:48:56,937 INFO    MainThread:15800 [wandb_setup.py:_flush():68] Loading settings from /home/veit/Uni/Lausanne/NML/EPFL-NWML-25/outputs/2025-05-12/15-48-34/wandb/settings
2025-05-12 15:48:56,937 INFO    MainThread:15800 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-12 15:48:56,937 INFO    MainThread:15800 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/veit/Uni/Lausanne/NML/EPFL-NWML-25/outputs/2025-05-12/15-48-34/wandb/run-20250512_154856-gordi9nu/logs/debug.log
2025-05-12 15:48:56,937 INFO    MainThread:15800 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/veit/Uni/Lausanne/NML/EPFL-NWML-25/outputs/2025-05-12/15-48-34/wandb/run-20250512_154856-gordi9nu/logs/debug-internal.log
2025-05-12 15:48:56,937 INFO    MainThread:15800 [wandb_init.py:init():852] calling init triggers
2025-05-12 15:48:56,938 INFO    MainThread:15800 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'preprocessing': {'steps': [{'_target_': 'github_filter', 'lowcut': 0.5, 'highcut': 120.0, 'fs': 1024, 'resampleFS': 250}]}, 'model': {'_class_': 'spatial_temporal', 'hidden_channels': 64, 'num_layers': 3, 'dropout': 0.2}, 'optimizer': {'name': 'Adam'}, 'batch_size': 128, 'num_epochs': 4, 'seed': 42, 'learning_rate': 0.001, 'prefetch_dataset': False, 'data_path': '/home/veit/Uni/Lausanne/NML/EPFL-NWML-25/content/networkML', 'train_set': 'train/train', 'test_set': 'test/test', 'distances_set': 'distances_3d.csv', '_wandb': {}}
2025-05-12 15:48:56,938 INFO    MainThread:15800 [wandb_init.py:init():893] starting backend
2025-05-12 15:48:56,938 INFO    MainThread:15800 [wandb_init.py:init():897] sending inform_init request
2025-05-12 15:48:56,947 INFO    MainThread:15800 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-12 15:48:56,947 INFO    MainThread:15800 [wandb_init.py:init():907] backend started and connected
2025-05-12 15:48:56,949 INFO    MainThread:15800 [wandb_init.py:init():1002] updated telemetry
2025-05-12 15:48:56,954 INFO    MainThread:15800 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-12 15:48:58,016 INFO    MainThread:15800 [wandb_init.py:init():1101] starting run threads in backend
2025-05-12 15:48:58,241 INFO    MainThread:15800 [wandb_run.py:_console_start():2566] atexit reg
2025-05-12 15:48:58,241 INFO    MainThread:15800 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-12 15:48:58,241 INFO    MainThread:15800 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-12 15:48:58,241 INFO    MainThread:15800 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-12 15:48:58,246 INFO    MainThread:15800 [wandb_init.py:init():1147] run started, returning control to user process
2025-05-12 15:48:58,320 INFO    MainThread:15800 [wandb_run.py:_config_callback():1429] config_cb None None {'cfg': "{'preprocessing': {'steps': [{'_target_': 'github_filter', 'lowcut': 0.5, 'highcut': 120.0, 'fs': 1024, 'resampleFS': 250}]}, 'model': {'_class_': 'spatial_temporal', 'hidden_channels': 64, 'num_layers': 3, 'dropout': 0.2}, 'optimizer': {'name': 'Adam'}, 'batch_size': 128, 'num_epochs': 4, 'seed': 42, 'learning_rate': 0.001, 'prefetch_dataset': False, 'data_path': '/home/veit/Uni/Lausanne/NML/EPFL-NWML-25/content/networkML', 'train_set': 'train/train', 'test_set': 'test/test', 'distances_set': 'distances_3d.csv'}"}
